word,parent_word
শুকাইয়া,শুকানো
শুধাইয়া,শুধানো
শেখাইয়া,শেখানো
শােধরাইয়া,শােধরানো
শােনাইয়া,শােনানো
শােয়াইয়া,শােয়ানো
সাজাইয়া,সাজানো
সাধাইয়া,সাধানো
সামলাইয়া,সামলানো
হাঁকাইয়া,হাঁকানো
হাকাইয়া,হাকানো
হাতড়াইয়া,হাতড়ানো
হাতাইয়া,হাতানো
হারাইয়া,হারানো
হাসাইয়া,হাসানো
কামাইয়া,কামানো
কাটাইয়া,কাটানো
অস্তাইয়া,অস্তানো
আইসাইয়া,আইসানো
আউটাইয়া,আউটানো
আউরাইয়া,আউরানো
আওটাইয়া,আওটানো
আঙলাইয়া,আঙলানো
উছলাইয়া,উছলানো
উঠাইয়া,উঠানো
উথলাইয়া,উথলানো
উপচাইয়া,উপচানো
উবাইয়া,উবানো
উলটাইয়া,উলটানো
এড়াইয়া,এড়ানো
ওঁচাইয়া,ওঁচানো
ওচাইয়া,ওচানো
ওখরাইয়া,ওখরানো
ওগরাইয়া,ওগরানো
ওচাইয়া,ওচানো
ওল্টাইয়া,ওল্টানো
কশাইয়া,কশানো
কামড়াইয়া,কামড়ানো
কাশাইয়া,কাশানো
কাড়াইয়া,কাড়ানো
কিনাইয়া,কিনানো
কুচাইয়া,কুচানো
কড়কাইয়া,কড়কানো
খসাইয়া,খসানো
খিচাইয়া,খিচানো
খুঁটাইয়া,খুঁটানো
খুটাইয়া,খুটানো
খুলাইয়া,খুলানো
খেঁচাইয়া,খেঁচানো
খেচাইয়া,খেচানো
খোঁজাইয়া,খোঁজানো
খোজাইয়া,খোজানো
গছাইয়া,গছানো
গজাইয়া,গজানো
গুনাইয়া,গুনানো
গুঁড়াইয়া,গুঁড়ানো
গুড়াইয়া,গুড়ানো
গুঙাইয়া,গুঙানো
গুছাইয়া,গুছানো
গুটাইয়া,গুটানো
ঘষাইয়া,ঘষানো
ঘাবড়াইয়া,ঘাবড়ানো
ঘিরাইয়া,ঘিরানো
ঘুটাইয়া,ঘুটানো
ঘুড়াইয়া,ঘুড়ানো
ঘুলাইয়া,ঘুলানো
ঘুষাইয়া,ঘুষানো
চাটাইয়া,চাটানো
চাবকাইয়া,চাবকানো
চাপড়াইয়া,চাপড়ানো
চিবাইয়া,চিবানো
চুবাইয়া,চুবানো
চড়াইয়া,চড়ানো
ছটকাইয়া,ছটকানো
ছাকাইয়া,ছাকানো
ছাড়াইয়া,ছাড়ানো
ছাপাইয়া,ছাপানো
ছিড়াইয়া,ছিড়ানো
ছিটাইয়া,ছিটানো
ছোওয়াইয়া,ছোওয়ানো
ছিনাইয়া,ছিনানো
ছুটাইয়া,ছুটানো
ছেঁকাইয়া,ছেঁকানো
ছেকাইয়া,ছেকানো
জরাইয়া,জরানো
জালাইয়া,জালানো
জিতাইয়া,জিতানো
জিরাইয়া,জিরানো
জুটাইয়া,জুটানো
জুড়াইয়া,জুড়ানো
জেতাইয়া,জেতানো
জড়াইয়া,জড়ানো
ঝরাইয়া,ঝরানো
ঝালাইয়া,ঝালানো
ঝাড়াইয়া,ঝাড়ানো
ঝিমাইয়া,ঝিমানো
ঝুলাইয়া,ঝুলানো
ঝোড়াইয়া,ঝোড়ানো
টুকাইয়া,টুকানো
টলাইয়া,টলানো
টাঙাইয়া,টাঙানো
টিকাইয়া,টিকানো
টিপাইয়া,টিপানো
ঠাসাইয়া,ঠাসানো
চুদাইয়া,চুদানো
ঠুকাইয়া,ঠুকানো
ঠুসাইয়া,ঠুসানো
ঠেকাইয়া,ঠেকানো
ঠেসাইয়া,ঠেসানো
ডলাইয়া,ডলানো
ডিঙাইয়া,ডিঙানো
ঢাকাইয়া,ঢাকানো
ঢিকাইয়া,ঢিকানো
ঢুকাইয়া,ঢুকানো
ঢুলাইয়া,ঢুলানো
ঢুসাইয়া,ঢুসানো
তলাইয়া,তলানো
তাতাইয়া,তাতানো
তুলাইয়া,তুলানো
থিতাইয়া,থিতানো
থুলাইয়া,থুলানো
দলাইয়া,দলানো
দাবাইয়া,দাবানো
দুলাইয়া,দুলানো
দুষাইয়া,দুষানো
দেয়াইয়া,দেয়ানো
দৌড়াইয়া,দৌড়ানো
ধসাইয়া,ধসানো
ধাবড়াইয়া,ধাবড়ানো
নাড়াইয়া,নাড়ানো
নিংড়াইয়া,নিংড়ানো
নিভাইয়া,নিভানো
নিড়াইয়া,নিড়ানো
নুয়াইয়া,নুয়ানো
নেবাইয়া,নেবানো
নেভাইয়া,নেভানো
নেয়াইয়া,নেয়ানো
পাড়াইয়া,পাড়ানো
পিষাইয়া,পিষানো
পুরাইয়া,পুরানো
পুষাইয়া,পুষানো
পুড়াইয়া,পুড়ানো
পোষাইয়া,পোষানো
পড়াইয়া,পড়ানো
ফসকাইয়া,ফসকানো
ফাটাইয়া,ফাটানো
ফাড়াইয়া,ফাড়ানো
ফিরাইয়া,ফিরানো
ফুটাইয়া,ফুটানো
ফুরাইয়া,ফুরানো
বকাইয়া,বকানো
বখাইয়া,বখানো
বনাইয়া,বনানো
বহাইয়া,বহানো
বাটাইয়া,বাটানো
বাধাইয়া,বাধানো
বাড়াইয়া,বাড়ানো
বিকাইয়া,বিকানো
বুজাইয়া,বুজানো
বুঝাইয়া,বুঝানো
বুনাইয়া,বুনানো
বুলাইয়া,বুলানো
বোজাইয়া,বোজানো
ভরাইয়া,ভরানো
ভাগাইয়া,ভাগানো
ভানাইয়া,ভানানো
ভিজাইয়া,ভিজানো
ভিড়াইয়া,ভিড়ানো
ভুগাইয়া,ভুগানো
ভুলাইয়া,ভুলানো
ভড়কাইয়া,ভড়কানো
মজাইয়া,মজানো
মটকাইয়া,মটকানো
মলাইয়া,মলানো
মিশাইয়া,মিশানো
মুছাইয়া,মুছানো
মুতাইয়া,মুতানো
মুড়াইয়া,মুড়ানো
মেটাইয়া,মেটানো
মাপাইয়া,মাপানো
মোছাইয়া,মোছানো
মোড়াইয়া,মোড়ানো
যাচাইয়া,যাচানো
রওয়াইয়া,রওয়ানো
রটাইয়া,রটানো
রসাইয়া,রসানো
রহাইয়া,রহানো
রুখাইয়া,রুখানো
রোপাইয়া,রোপানো
রয়াইয়া,রয়ানো
লওয়াইয়া,লওয়ানো
