word,parent_word
শুকিয়ে,শুকানো
শুধিয়ে,শুধানো
শেখিয়ে,শেখানো
শুধিয়ে,শােধরানো
শুনিয়ে,শােনানো
শুইয়ে,শােয়ানো
সাজিয়ে,সাজানো
সাধিয়ে,সাধানো
সামলিয়ে,সামলানো
হাঁকিয়ে,হাঁকানো
হাকিয়ে,হাকানো
হাতড়িয়ে,হাতড়ানো
হাতিয়ে,হাতানো
হারিয়ে,হারানো
হাসিয়ে,হাসানো
কামিয়ে,কামানো
কাটিয়ে,কাটানো
অস্তিয়ে,অস্তানো
আইসিয়ে,আইসানো
আউটিয়ে,আউটানো
আউরিয়ে,আউরানো
আওটিয়ে,আওটানো
আঙলিয়ে,আঙলানো
উছলিয়ে,উছলানো
উঠিয়ে,উঠানো
উথলিয়ে,উথলানো
উপচিয়ে,উপচানো
উবিয়ে,উবানো
উলটিয়ে,উলটানো
এড়িয়ে,এড়ানো
ওঁচিয়ে,ওঁচানো
ওচিয়ে,ওচানো
ওখরিয়ে,ওখরানো
ওগরিয়ে,ওগরানো
ওচিয়ে,ওচানো
ওল্টিয়ে,ওল্টানো
কশিয়ে,কশানো
কামড়িয়ে,কামড়ানো
কাশিয়ে,কাশানো
কাড়িয়ে,কাড়ানো
কিনিয়ে,কিনানো
কুচিয়ে,কুচানো
কড়কিয়ে,কড়কানো
খসিয়ে,খসানো
খিচিয়ে,খিচানো
খুঁটিয়ে,খুঁটানো
খুটিয়ে,খুটানো
খুলিয়ে,খুলানো
খেঁচিয়ে,খেঁচানো
খেচিয়ে,খেচানো
খোঁজিয়ে,খোঁজানো
খোজিয়ে,খোজানো
গছিয়ে,গছানো
গজিয়ে,গজানো
গুনিয়ে,গুনানো
গুঁড়িয়ে,গুঁড়ানো
গুড়িয়ে,গুড়ানো
গুঙিয়ে,গুঙানো
গুছিয়ে,গুছানো
গুটিয়ে,গুটানো
ঘষিয়ে,ঘষানো
ঘাবড়িয়ে,ঘাবড়ানো
ঘিরিয়ে,ঘিরানো
ঘুটিয়ে,ঘুটানো
ঘুড়িয়ে,ঘুড়ানো
ঘুলিয়ে,ঘুলানো
ঘুষিয়ে,ঘুষানো
চাটিয়ে,চাটানো
চাবকিয়ে,চাবকানো
চাপড়িয়ে,চাপড়ানো
চিবিয়ে,চিবানো
চুবিয়ে,চুবানো
চড়িয়ে,চড়ানো
ছটকিয়ে,ছটকানো
ছাকিয়ে,ছাকানো
ছাড়িয়ে,ছাড়ানো
ছাপিয়ে,ছাপানো
ছিড়িয়ে,ছিড়ানো
ছিটিয়ে,ছিটানো
ছোওয়িয়ে,ছোওয়ানো
ছিনিয়ে,ছিনানো
ছুটিয়ে,ছুটানো
ছেঁকিয়ে,ছেঁকানো
ছেকিয়ে,ছেকানো
জরিয়ে,জরানো
জালিয়ে,জালানো
জিতিয়ে,জিতানো
জিরিয়ে,জিরানো
জুটিয়ে,জুটানো
জুড়িয়ে,জুড়ানো
জেতিয়ে,জেতানো
জড়িয়ে,জড়ানো
ঝরিয়ে,ঝরানো
ঝালিয়ে,ঝালানো
ঝাড়িয়ে,ঝাড়ানো
ঝিমিয়ে,ঝিমানো
ঝুলিয়ে,ঝুলানো
ঝোড়িয়ে,ঝোড়ানো
টুকিয়ে,টুকানো
টলিয়ে,টলানো
টাঙিয়ে,টাঙানো
টিকিয়ে,টিকানো
টিপিয়ে,টিপানো
ঠাসিয়ে,ঠাসানো
চুদিয়ে,চুদানো
ঠুকিয়ে,ঠুকানো
ঠুসিয়ে,ঠুসানো
ঠেকিয়ে,ঠেকানো
ঠেসিয়ে,ঠেসানো
ডলিয়ে,ডলানো
ডিঙিয়ে,ডিঙানো
ঢাকিয়ে,ঢাকানো
ঢিকিয়ে,ঢিকানো
ঢুকিয়ে,ঢুকানো
ঢুলিয়ে,ঢুলানো
ঢুসিয়ে,ঢুসানো
তলিয়ে,তলানো
তাতিয়ে,তাতানো
তুলিয়ে,তুলানো
থিতিয়ে,থিতানো
থুলিয়ে,থুলানো
দলিয়ে,দলানো
দাবিয়ে,দাবানো
দুলিয়ে,দুলানো
দুষিয়ে,দুষানো
দেয়িয়ে,দেয়ানো
দৌড়িয়ে,দৌড়ানো
ধসিয়ে,ধসানো
ধাবড়িয়ে,ধাবড়ানো
নাড়িয়ে,নাড়ানো
নিংড়িয়ে,নিংড়ানো
নিভিয়ে,নিভানো
নিড়িয়ে,নিড়ানো
নুয়িয়ে,নুয়ানো
নেবিয়ে,নেবানো
নেভিয়ে,নেভানো
নেয়িয়ে,নেয়ানো
পাড়িয়ে,পাড়ানো
পিষিয়ে,পিষানো
পুরিয়ে,পুরানো
পুষিয়ে,পুষানো
পুড়িয়ে,পুড়ানো
পোষিয়ে,পোষানো
পড়িয়ে,পড়ানো
ফসকিয়ে,ফসকানো
ফাটিয়ে,ফাটানো
ফাড়িয়ে,ফাড়ানো
ফিরিয়ে,ফিরানো
ফুটিয়ে,ফুটানো
ফুরিয়ে,ফুরানো
বকিয়ে,বকানো
বখিয়ে,বখানো
বনিয়ে,বনানো
বহিয়ে,বহানো
বাটিয়ে,বাটানো
বাধিয়ে,বাধানো
বাড়িয়ে,বাড়ানো
বিকিয়ে,বিকানো
বুজিয়ে,বুজানো
বুঝিয়ে,বুঝানো
বুনিয়ে,বুনানো
বুলিয়ে,বুলানো
বোজিয়ে,বোজানো
ভরিয়ে,ভরানো
ভাগিয়ে,ভাগানো
ভানিয়ে,ভানানো
ভিজিয়ে,ভিজানো
ভিড়িয়ে,ভিড়ানো
ভুগিয়ে,ভুগানো
ভুলিয়ে,ভুলানো
ভড়কিয়ে,ভড়কানো
মজিয়ে,মজানো
মটকিয়ে,মটকানো
মলিয়ে,মলানো
মিশিয়ে,মিশানো
মুছিয়ে,মুছানো
মুতিয়ে,মুতানো
মুড়িয়ে,মুড়ানো
মেটিয়ে,মেটানো
মাপিয়ে,মাপানো
মোছিয়ে,মোছানো
মোড়িয়ে,মোড়ানো
যাচিয়ে,যাচানো
রওয়িয়ে,রওয়ানো
রটিয়ে,রটানো
রসিয়ে,রসানো
রহিয়ে,রহানো
রুখিয়ে,রুখানো
রোপিয়ে,রোপানো
রয়িয়ে,রয়ানো
লওয়িয়ে,লওয়ানো
লটকিয়ে,লটকানো
লিখিয়ে,লিখানো
লুফিয়ে,লুফানো
লেখিয়ে,লেখানো
লড়িয়ে,লড়ানো
শানিয়ে,শানানো
শুনিয়ে,শুনানো
শুষিয়ে,শুষানো
শুয়িয়ে,শুয়ানো
শোধিয়ে,শোধানো
সঁপিয়ে,সঁপানো
সপিয়ে,সপানো
সওয়িয়ে,সওয়ানো
সটকিয়ে,সটকানো
সরিয়ে,সরানো
সহিয়ে,সহানো
সেঁচিয়ে,সেঁচানো
সেচিয়ে,সেচানো
সেকিয়ে,সেকানো
হওয়িয়ে,হওয়ানো
হটিয়ে,হটানো
হরিয়ে,হরানো
হানিয়ে,হানানো
হেলিয়ে,হেলানো
টকিয়ে,টকানো
এঁকে,আঁকা
একে,আকা
এঁটে,আঁটা
এটে,আটা
এনে,আনা
এসে,আসা
কেঁড়ে,কাঁড়া
কেড়ে,কাড়া
কেঁদে,কাঁদা
কেদে,কাদা
কেঁপে,কাঁপা
কেপে,কাপা
কেচে,কাচা
কেটে,কাটা
খেটে,খাটা
গেঁথে,গাঁথা
গেথে,গাথা
গেড়ে,গাড়া
ঘেঁটে,ঘাঁটা
ঘেটে,ঘাটা
চেঁছে,চাঁছা
চেছে,চাছা
চেপে,চাপা
ছেঁটে,ছাঁটা
ছেটে,ছাটা
ছেড়ে,ছাড়া
ছেপে,ছাপা
টেনে,টানা
ডেকে,ডাকা
ঢেলে,ঢালা
থেকে,থাকা
থেমে,থামা
দেগে,দাগা
নেচে,নাচা
নেমে,নামা
পেতে,পাতা
পেরে,পারা
বেঁচে,বাঁচা
বেঁধে,বাঁধা
বেধে,বাধা
বেছে,বাছা
বেসে,বাসা
ভেঙে,ভাঙা
ভেজে,ভাজা
ভেবে,ভাবা
জেগে,জাগা
জেনে,জানা
ভেসে,ভাসা
মেখে,মাখা
মেগে,মাগা
মেজে,মাজা
মেতে,মাতা
মেনে,মানা
মেরে,মারা
রেঁধে,রাঁধা
রেধে,রাধা
রেখে,রাখা
রেগে,রাগা
লেগে,লাগা
সেজে,সাজা
সেধে,সাধা
হেঁকে,হাঁকা
হেকে,হাকা
হেঁচে,হাঁচা
হেচে,হাচা
হেঁটে,হাঁটা
হেটে,হাটা
হেরে,হারা
হেসে,হাসা
করে,করা
গড়ে,গড়া
ঘষে,ঘষা
চটে,চটা
চড়ে,চড়া
চরে,চরা
চষে,চষা
জপে,জপা
ঠকে,ঠকা
ঢলে,ঢলা
ধরে,ধরা
পচে,পচা
পড়ে,পড়া
পরে,পরা
দমে,দমা
বলে,বলা
বসে,বসা
ভজে,ভজা
মরে,মরা
ফলে,ফলা
কেটে,কাটা
কেমে,কামা
কেশে,কাশা
কেড়ে,কাড়া
চেটে,চাটা
চেহে,চাহা
ছেকে,ছাকা
ছেড়ে,ছাড়া
ছেপে,ছাপা
জেগে,জাগা
ঝেড়ে,ঝাড়া
টেঙে,টাঙা
ঠেসে,ঠাসা
ঢেকে,ঢাকা
তেতে,তাতা
নেড়ে,নাড়া
ফেটে,ফাটা
ফেড়ে,ফাড়া
বেটে,বাটা
বেধে,বাধা
বেড়ে,বাড়া
হেনে,হানা
ভেগে,ভাগা
ভেনে,ভানা
ভেবে,ভাবা
মেপে,মাপা
যেচে,যাচা
শেনাকশে,শানাকশা
কসে,কসা
খসে,খসা
গছে,গছা
গজে,গজা
ঘষে,ঘষা
চড়ে,চড়া
জড়ে,জড়া
ঝরে,ঝরা
টকে,টকা
টলে,টলা
ডলে,ডলা
তলে,তলা
দলে,দলা
ধসে,ধসা
পড়ে,পড়া
পড়ে,পড়া
বখাবনে,বখাবনা
বহে,বহা
ভরে,ভরা
মজে,মজা
মলে,মলা
এেে,এলা
এেে,এড়া
রসে,রসা
রহে,রহা
রটে,রটা
সঁপে,সঁপা
সপে,সপা
সরে,সরা
সহে,সহা
হটে,হটা
হরে,হরা
লড়ে,লড়া
অস্তে,অস্তা
আউটে,আউটা
আউরে,আউরা
আওটে,আওটা
উথলে,উথলা
উলটে,উলটা
ওখড়ে,ওখড়া
ওগরে,ওগরা
দৌড়ে,দৌড়া
ঘবড়ে,ঘবড়া
ধমকে,ধমকা
লটকে,লটকা
সটকে,সটকা
কুচে,কুচা
খুঁজে,খুঁজা
খুজে,খুজা
খুঁটে,খুঁটা
খুটে,খুটা
খুলে,খুলা
গুনে,গুনা
গুঁতে,গুঁতা
গুতে,গুতা
গুঁড়ে,গুঁড়া
গুড়ে,গুড়া
গুছে,গুছা
গুটে,গুটা
গুনে,গুনা
ঘুটে,ঘুটা
ঘুড়ে,ঘুড়া
ঘুলে,ঘুলা
ঘুষে,ঘুষা
চুবে,চুবা
ছুটে,ছুটা
ছুড়ে,ছুড়া
জুটে,জুটা
জুড়ে,জুড়া
ঝুলে,ঝুলা
ঠুকে,ঠুকা
ঠুসে,ঠুসা
ঢুকে,ঢুকা
ঢুলে,ঢুলা
ঢুসে,ঢুসা
তুলে,তুলা
দুলে,দুলা
দুষে,দুষা
চুদে,চুদা
পুষে,পুষা
পুড়ে,পুড়া
ফুটে,ফুটা
ফুরে,ফুরা
বুজে,বুজা
বুঝাবুনে,বুঝাবুনা
ভুগে,ভুগা
ভুলে,ভুলা
মুছে,মুছা
মুতে,মুতা
মুড়ে,মুড়া
রুখে,রুখা
লুফে,লুফা
শুনে,শুনা
শুষে,শুষা
গুঁজে,গুঁজা
গুজে,গুজা
ঝুড়ে,ঝুড়া
টুকে,টুকা
ডুবে,ডুবা
গিয়ে,যাওয়া
বেয়ে,বাওয়া
গেয়ে,গাওয়া
খেয়ে,খাওয়া
পেয়ে,পাওয়া
ধেয়ে,ধাওয়া
ছয়ে,ছোওয়া
সয়ে,সওয়া
হয়ে,হওয়া
লয়ে,লওয়া
চয়ে,চাওয়া
রয়ে,রওয়া
কিনে,কেনা
গিলে,গেলা
ঘিরে,ঘেরা
চিনে,চেনা
ছিঁড়ে,ছেঁড়া
ছিড়ে,ছেড়া
টিকে,টেকা
ফিরে,ফেরা
ভিজে,ভেজা
মিশে,মেশা
লিখে,লেখা
শিখে,শেখা
মিলে,মিলা
মিলে,মেলা
খেপে,খেপা
খেলে,খেলা
ঘেষে,ঘেষা
ঠেলে,ঠেলা
দেখে,দেখা
ফেলে,ফেলা
বেচে,বেচা
খেঁচে,খেঁচা
খেচে,খেচা
ছেঁকে,ছেঁকা
ছেকে,ছেকা
জিতে,জেতা
ঠেকে,ঠেকা
ঠেসে,ঠেসা
হেলে,হেলা
সেকে,সেকা
কিনে,কিনা
খিচে,খিচা
ঘিরে,ঘিরা
চিবে,চিবা
ছিঁড়ে,ছিঁড়া
ছিড়ে,ছিড়া
ছিটে,ছিটা
ছিনে,ছিনা
জিতে,জিতা
ঝিমে,ঝিমা
টিকে,টিকা
টিপে,টিপা
ডিঙে,ডিঙা
ঢিকে,ঢিকা
থিতে,থিতা
নিভে,নিভা
পিষে,পিষা
ফিরে,ফিরা
বিকে,বিকা
ভিজে,ভিজা
ভিড়ামিশে,ভিড়ামিশা
লিখে,লিখা
সেঁচে,সেঁচা
সেচে,সেচা
ঝুড়ে,ঝোড়া
পুষে,পোষা
মুছে,মোছা
মুড়ে,মোড়া
বুজে,বোজা
রুপে,রোপা
কুটে,কোটা
খুঁজে,খোঁজা
খুজে,খোজা
খুলে,খোলা
গুনে,গােনা
ঘুরে,ঘােরা
ছুটে,ছােটা
জুটে,জোটা
জুড়ে,জোড়া
ঠুকে,ঠোকা
দুলে,দোলা
দুষে,দোষা
পু়ড়ে,পােড়া
ফুঁসে,ফোঁসা
ফুসে,ফোসা
ফুটে,ফোটা
বুঝে,বােঝা
বুনে,বােনা
ভুলে,ভােলা
মুছে,মােছা
শুনে,শােনা
উঠে,ওঠা
উড়ে,ওড়া
ছুঁয়ে,ছোঁয়া
থুয়ে,থোয়া
শুয়ে,শোয়া
দিয়ে,দেওয়া
ধুয়ে,ধোওয়া
কয়ে,কওয়া
নিয়ে,নেওয়া
