,verb,Ami,Tumi,Tui,Apni,Shey,,,
59,ওল্টা,ওল্টিনি,ওল্টোনি,ওল্টিসনি,ওল্টেননি,ওল্টেনি,,,
60,ওল্টানো,ওল্টাইনি,ওল্টাওনি,ওল্টাসনি,ওল্টাননি,ওল্টায়নি,,,
61,ওড়া,ওড়াইনি,ওড়াওনি,ওড়াসনি,ওড়াননি,ওড়ায়নি,,,
62,কওয়া,কওয়াইনি,কওয়াওনি,কওয়াসনি,কওয়াননি,কওয়ায়নি,,,
63,কচলানো,কচলাইনি,কচলাওনি,কচলাসনি,কচলাননি,কচলায়নি,,,
64,করা,করাইনি,করাওনি,করাসনি,করাননি,করায়নি,,,
,কর,করিনি,করোনি,করিসনি,করেননি,করেনি,,,
65,করানো,,,,,,,,
66,কশানো,কশাইনি,কশাওনি,কশাসনি,কশাননি,কশায়নি,,,
67,কষানো,কষাইনি,কষাওনি,কষাসনি,কষাননি,কষায়নি,,,
68,কসা,কসাইনি,কসাওনি,কসাসনি,কসাননি,কসায়নি,,,
69,কাঁদা,কাঁদিনি,কাঁদোনি,কাঁদিসনি,কাঁদেননি,কাঁদেনি,,,
70,কাঁদানো,কাঁদাইনি,কাঁদাওনি,কাঁদাসনি,কাঁদাননি,কাঁদায়নি,,,
71,কাঁপা,কাঁপিনি,কাঁপোনি,কাঁপিসনি,কাঁপেননি,কাঁপেনি,,,
72,কাঁপানো,কাঁপাইনি,কাঁপাওনি,কাঁপাসনি,কাঁপাননি,কাঁপায়নি,,,
73,কাঁড়া,কাঁড়াইনি,কাঁড়াওনি,কাঁড়াসনি,কাঁড়াননি,কাঁড়ায়নি,,,
74,কাঁড়ানো,,,,,,,,
75,কাচা,কাচাইনি,কাচাওনি,কাচাসনি,কাচাননি,কাচায়নি,,,
76,কাটা,কাটাইনি,কাটাওনি,কাটাসনি,কাটাননি,কাটায়নি,,,
77,কাটানো,,,,,,,,
78,কামড়ানো,কামড়াইনি,কামড়াওনি,কামড়াসনি,কামড়াননি,কামড়ায়নি,,,
79,কামা,,,,,,,,
80,কামানো,কামাইনি,কামাওনি,কামাসনি,কামাননি,কামায়নি,,,
81,কামড়ানো,,,,,,,,
82,কাশা,কাশিনি,কাশোনি,কাশিসনি,কাশেননি,কাশেনি,,,
83,কাশানো,কাশাইনি,কাশাওনি,কাশাসনি,কাশাননি,কাশায়নি,,,
84,কাড়া,,,,,,,,
85,কাড়ানো,,,,,,,,
86,কিনা,কিনিনি,কিনোনি,কিনিসনি,কিনেননি,কিনেনি,,,
87,কিনানো,কিনাইনি,কিনাওনি,কিনাসনি,কিনাননি,কিনায়নি,,,
88,কুঁকড়ানো,কুঁকড়াইনি,কুঁকড়াওনি,কুঁকড়াসনি,কুঁকড়াননি,কুঁকড়ায়নি,,,
89,কুঁচকানো,কুঁচকাইনি,কুঁচকাওনি,কুঁচকাসনি,কুঁচকাননি,কুঁচকায়নি,,,
90,কুচা,কুচিনি,কুচোনি,কুচিসনি,কুচেননি,কুচেনি,,,
91,কুচানো,কুচাইনি,কুচাওনি,কুচাসনি,কুচাননি,কুচায়নি,,,
92,কুড়ানো,কুড়াইনি,কুড়াওনি,কুড়াসনি,কুড়াননি,কুড়ায়নি,,,
93,কুরানো,কুরাইনি,কুরাওনি,কুরাসনি,কুরাননি,কুরায়নি,,,
94,কুলানো,,,,,,,,
95,কেনা,কেনাইনি,কেনাওনি,কেনাসনি,কেনাননি,কেনায়নি,,,
96,কোটা,কোটাইনি,কোটাওনি,কোটাসনি,কোটাননি,কোটায়নি,,,
97,কোপানো,কোপাইনি,কোপাওনি,কোপাসনি,কোপাননি,কোপায়নি,,,
98,কড়কা,কড়কিনি,কড়কোনি,কড়কিস,কড়কোননি,কড়কেনি,,,
99,কড়কানো,কড়কাইনি,কড়কাওনি,কড়কাসনি,কড়কাননি,কড়কায়নি,,,
100,খণ্ডানো,খণ্ডাইনি,খণ্ডাওনি,খণ্ডাসনি,খণ্ডাননি,খণ্ডায়নি,,,
101,খসা,খসিনি,খসোনি,খসিসনি,খসেননি,খসেনি,,,
102,খসানো,খসাইনি,খসাওনি,খসাসনি,খসাননি,খসায়নি,,,
103,খাওয়ানো,,,,,,,,
104,খাওয়া,খাওয়াইনি,খাওয়াওনি,খাওয়াসনি,খাওয়াননি,খাওয়ায়নি,,,
105,খাটা,খাটিনি,খাটোনি,খাটিসনি,খাটেননি,খাটেনি,,,
106,খাটানো,খাটাইনি,খাটাওনি,খাটাসনি,খাটাননি,খাটায়নি,,,
107,খামচানো,খামচাইনি,খামচাওনি,খামচাসনি,খামচাননি,খামচায়নি,,,
108,খােয়ানো,খােয়াইনি,খােয়াওনি,খােয়াসনি,খােয়াননি,খােয়ায়নি,,,
109,খিঁচানো,খিঁচাইনি,খিঁচাওনি,খিঁচাসনি,খিঁচাননি,খিঁচায়নি,,,
110,খিচা,খিচিনি,খিচোনি,খিচিসনি,খিচেননি,খিচেনি,,,
111,খিচানো,খিচাইনি,খিচাওনি,খিচাসনি,খিচাননি,খিচায়নি,,,
112,খুঁজা,খুঁজাইনি,খুঁজাওনি,খুঁজাসনি,খুঁজাননি,খুঁজায়নি,,,
113,খুঁটা,খুঁটিনি,খুঁটোনি,খুঁটিসিনি,খুঁটেননি,খুঁটেনি,,,
114,খুঁটানো,খুঁটাইনি,খুঁটাওনি,খুঁটাসনি,খুঁটাননি,খুঁটায়নি,,,
115,খুলা,খুলিনি,খোলোনি,খুলিসনি,খুলেননি,খুলেনি,,,
116,খুলানো,খুলাইনি,খুলাওনি,খুলাসনি,খুলাননি,খুলায়নি,,,
117,খেঁচা,খেঁচিনি,খেঁচোনি,খেঁচিসনি,খেঁচেননি,খেঁচেনি,,,
118,খেঁচানো,খেঁচাইনি,খেঁচাওনি,খেঁচাসনি,খেঁচাননি,খেঁচায়নি,,,
119,খেদানো,খেদাইনি,খেদাওনি,খেদাসনি,খেদাননি,খেদায়নি,,,
120,খেপা,খেপিনি,খেপোনি,খেপিসনি,খেপেননি,খেপাননি,,,
121,খেপানো,খেপাইনি,খেপাওনি,খেপাসনি,খেপাননি,খেপায়নি,,,
122,খেলা,খেলিনি,খেলোনি,খেলিসনি,খেলেননি,খেলেনি,,,
123,খেলানো,খেলাইনি,খেলাওনি,খেলাসনি,খেলাননি,খেলায়নি,,,
124,খোঁজা,খুঁজিনি,খোঁজোনি,খুঁজিসনি,খোঁজেননি,খোঁজেনি,,,
125,খোঁজানো,খোঁজাইনি,খোঁজাওনি,খোঁজাসনি,খোঁজাননি,খোঁজায়নি,,,
126,খোলা,খুলিনি,খোলোনি,খুলিসনি,খোলেননি,খোলেনি,,,
127,গছা,,,,,,,,
128,গছানো,গছাইনি,গছাওনি,গছাসনি,গছাননি,গছায়নি,,,
129,গজা,গজিনি,গজোনি,গজিসনি,গজেননি,গজেনি,,,
130,গজানো,গজাইনি,গজাওনি,গজাসনি,গজাননি,গজায়নি,,,
131,গড়ানো,গড়াইনি,গড়াওনি,গড়াসনি,গড়াননি,গড়ায়নি,,,
