,verb,Ami,Tumi,Tui,Apni,Shey,,,
272,ঝরানো,ঝরাইনি,ঝরাওনি,ঝরাসনি,ঝরাননি,ঝরায়নি,,,
273,ঝাঁপানো,ঝাঁপাইনি,ঝাঁপাওনি,ঝাঁপাসনি,ঝাঁপাননি,ঝাঁপায়নি,,,
274,ঝালা,ঝালিনি,ঝালোনি,ঝালিসনি,ঝালেননি,ঝালেনি,,,
275,ঝালানো,ঝালাইনি,ঝালাওনি,ঝালাসনি,ঝালাননি,ঝালায়নি,,,
276,ঝাড়া,ঝাড়িনি,ঝাড়োনি,ঝাড়িসনি,ঝাড়েননি,ঝাড়েনি,,,
277,ঝাড়ানো,ঝাড়াইনি,ঝাড়াওনি,ঝাড়াসনি,ঝাড়াননি,ঝাড়ায়নি,,,
278,ঝিমা,,,,,,,,
279,ঝিমানো,ঝিমাইনি,ঝিমাওনি,ঝিমাসনি,ঝিমাননি,ঝিমায়নি,,,
280,ঝুঁড়ানো,ঝুঁড়াইনি,ঝুঁড়াওনি,ঝুঁড়াসনি,ঝুঁড়াননি,ঝুঁড়ায়নি,,,
281,ঝুলা,ঝুলিনি,ঝুলোনি,ঝুলিসনি,ঝুলেননি,ঝুলেনি,,,
282,ঝুলানো,ঝুলাইনি,ঝুলাওনি,ঝুলাসনি,ঝুলাননি,ঝুলায়নি,,,
283,ঝুড়া,ঝুড়িনি,ঝুড়োনি,ঝুড়িসনি,ঝুড়েননি,ঝুড়েনি,,,
284,ঝোড়া,ঝোড়িনি,ঝোড়োনি,ঝোড়িসনি,ঝোড়েননি,ঝোড়েনি,,,
285,ঝোড়ানো,ঝোড়াইনি,ঝোড়াওনি,ঝোড়াসনি,ঝোড়াননি,ঝোড়ায়নি,,,
286,টকা,,,,,টকেনি,,,
287,টকানো,টকাইনি,টকাওনি,টকাসনি,টকাননি,টকায়নি,,,
288,টলা,টলিনি,টলোনি,টলাসনি,টলেননি,টলেনি,,,
289,টলানো,টলাইনি,টলাওনি,টলাসনি,টলাননি,টলায়নি,,,
290,টাঙা,,,,,,,,
291,টাঙানো,টাঙাইনি,টাঙাওনি,টাঙাসনি,টাঙাননি,টাঙায়নি,,,
292,টানা,টানিনি,টানোনি,টানিসনি,টানেননি,টানেনি,,,
293,টানানো,টানাইনি,টানাওনি,টানাসনি,টানাননি,টানায়নি,,,
294,টিকা,টিকিনি,টিকেনি,টিকোনি,টিকেননি,টিকেনি,,,
295,টিকানো,টিকাইনি,টিকাওনি,টিকাসনি,টিকাননি,টিকায়নি,,,
296,টিপা,টিপিনি,টিপোনি,টিপিসনি,টিপেননি,টিপেনি,,,
297,টিপানো,টিপাইনি,টিপাওনি,টিপাসনি,টিপাননি,টিপায়নি,,,
298,টুকা,টুকিনি,টুকোনি,টুকিসনি,টুকেননি,টুকেনি,,,
299,টুকানো,টুকাইনি,টুকাওনি,টুকাসনি,টুকাননি,টুকায়নি,,,
300,টেকা,টিকিনি,টেকোনি,টিকিসনি,টেকেননি,টেকেনি,,,
,টেকানো,টেকাইনি,টেকাওনি,টেকাসনি,টেকাননি,টেকায়নি,,,
301,ঠকা,ঠকিনি,ঠকোনি,ঠকিসনি,ঠকেননি,ঠকেনি,,,
302,ঠকানো,ঠকাইনি,ঠকাওনি,ঠকাসনি,ঠকাননি,ঠকায়নি,,,
303,ঠাওরানো,ঠাওরাইনি,ঠাওরাওনি,ঠাওরাসনি,ঠাওরাননি,ঠাওরায়নি,,,
304,ঠাসা,ঠাসিনি,ঠাসোনি,ঠাসিসনি,ঠাসেননি,ঠাসেনি,,,
305,ঠাসানো,ঠাসাইনি,ঠাসাওনি,ঠাসাসনি,ঠাসাননি,ঠাসায়নি,,,
306,ঠুকা,ঠুকিনি,ঠুকোনি,ঠুকিসনি,ঠুকেননি,ঠুকেনি,,,
307,ঠুকানো,ঠুকাইনি,ঠুকাওনি,ঠুকাসনি,ঠুকাননি,ঠুকায়নি,,,
308,ঠুসা,ঠুসিনি,ঠুসোনি,ঠুসিসনি,ঠুসেননি,ঠুসেনি,,,
309,ঠুসানো,ঠুসাইনি,ঠুসাওনি,ঠুসাসনি,ঠুসাননি,ঠুসায়নি,,,
310,ঠেকা,ঠেকিনি,ঠেকোনি,ঠেকিসনি,ঠেকেননি,ঠেকেনি,,,
311,ঠেকানো,ঠেকাইনি,ঠেকাওনি,ঠেকাসনি,ঠেকাননি,ঠেকায়নি,,,
312,ঠেলা,ঠেলিনি,ঠেলোনি,ঠেলিসনি,ঠেলেননি,ঠেলেনি,,,
,ঠেলানো,ঠেলাইনি,ঠেলাওনি,ঠেলাসনি,ঠেলাননি,ঠেলায়নি,,,
313,ঠেসা,ঠেসিনি,ঠেসোনি,ঠেসিসনি,ঠেসেননি,ঠেসেনি,,,
314,ঠেসানো,ঠেসাইনি,ঠেসাওনি,ঠেসাসনি,ঠেসাননি,ঠেসায়নি,,,
315,ঠোকরানো,ঠোকিনি,ঠোকোনি,ঠোকিসনি,ঠোকেননি,ঠোকেনি,,,
316,ঠোকা,ঠোকাইনি,ঠোকাওনি,ঠোকাসনি,ঠোকাননি,ঠোকায়নি,,,
317,ডরানো,ডরাইনি,ডরাওনি,ডরাসনি,ডরাননি,ডরায়নি,,,
,ডরা,ডরিনি,ডরোনি,ডরসনি,ডরেননি,ডরেনি,,,
318,ডলা,ডলিনি,ডলোনি,ডলিসনি,ডলেননি,ডলেনি,,,
319,ডলানো,ডলাইনি,ডলাওনি,ডলাসনি,ডলাননি,ডলায়নি,,,
320,ডাকা,ডাকিনি,ডাকোনি,ডাকিসনি,ডাকেননি,ডাকেনি,,,
,ডাকানো,ডাকাইনি,ডাকাওনি,ডাকাসনি,ডাকাননি,ডাকায়নি,,,
321,ডিঙা,,,,,,,,
322,ডিঙানো,ডিঙাইনি,ডিঙাওনি,ডিঙাসনি,ডিঙাননি,ডিঙায়নি,,,
323,ডুবা,ডুবিনি,ডুবোনি,ডুবিসনি,ডুবেননি,ডুবেনি,,,
324,ডুবানো,ডুবাইনি,ডুবাওনি,ডুবাসনি,ডুবাননি,ডুবায়নি,,,
325,ঢলা,ঢলিনি,ঢলোনি,ঢলিসনি,ঢলেননি,ঢলেনি,,,
326,ঢলানো,ঢলাইনি,ঢলাওনি,ঢলাসনি,ঢলাননি,ঢলায়নি,,,
327,ঢাকা,ঢাকিনি,ঢাকোনি,ঢাকিসনি,ঢাকেননি,ঢাকেনি,,,
328,ঢাকানো,ঢাকাইনি,ঢাকাওনি,ঢাকাসনি,ঢাকাননি,ঢাকায়নি,,,
329,ঢালা,ঢালিনি,ঢালোনি,ঢালিসনি,ঢালেননি,ঢালেনি,,,
,ঢালা,ঢালাইনি,ঢালাওনি,ঢালাসনি,ঢালাননি,ঢালায়নি,,,
330,ঢিকা,,,,,,,,
331,ঢিকানো,ঢিকাইনি,ঢিকাওনি,ঢিকাসনি,ঢিকাননি,ঢিকায়নি,,,
332,ঢুকা,ঢুকিনি,ঢুকোনি,ঢুকিসনি,ঢুকেননি,ঢুকেনি,,,
333,ঢুকানো,ঢুকাইনি,ঢুকাওনি,ঢুকাসনি,ঢুকাননি,ঢুকায়নি,,,
334,ঢুলা,ঢুলিনি,ঢুলোনি,ঢুলিসনি,ঢুলেননি,ঢুলেনি,,,
335,ঢুলানো,ঢুলাইনি,ঢুলাওনি,ঢুলাসনি,ঢুলাননি,ঢুলায়নি,,,
336,ঢুসা,ঢুসিনি,ঢুসোনি,ঢুসিসনি,ঢুসেননি,ঢুসেনি,,,
337,ঢুসানো,ঢুসাইনি,ঢুসাওনি,ঢুসাসনি,ঢুসাননি,ঢুসায়নি,,,
338,তলা,,,,,,,,
339,তলানো,তলাইনি,তলাওনি,তলাসনি,তলাননি,তলায়নি,,,
340,তাকানো,তাকাইনি,তাকাওনি,তাকাসনি,তাকাননি,তাকায়নি,,,
341,তাড়ানো,তাড়াইনি,তাড়াওনি,তাড়াসনি,তাড়াননি,তাড়ায়নি,,,
342,তাতা,,,,,,,,
343,তাতানো,তাতাইনি,তাতাওনি,তাতাসনি,তাতাননি,তাতায়নি,,,
344,তােতলানো,তােতলাইনি,তােতলাওনি,তােতলাসনি,তােতলাননি,তােতলায়নি,,,
345,তােলানো,তােলাইনি,তােলাওনি,তােলাসনি,তােলাননি,তােলায়নি,,,
346,তুলা,তুলিনি,তুলোনি,তুলিসনি,তুলেননি,তুলেনি,,,
347,তুলানো,তুলাইনি,তুলাওনি,তুলাসনি,তুলাননি,তুলায়নি,,,
348,থাকা,থাকিনি,থাকোনি,থাকিসনি,থাকেননি,থাকেনি,,,
,থাকানো,থাকাইনি,থাকাওনি,থাকাসনি,থাকাননি,থাকায়নি,,,
349,থাপড়ানো,থাপড়াইনি,থাপড়াওনি,থাপড়াসনি,থাপড়াননি,থাপড়ায়নি,,,
350,থাবড়ানো,থাবড়াইনি,থাবড়াওনি,থাবড়াসনি,থাবড়াননি,থাবড়ায়নি,,,
351,থামা,থামিনি,থামোনি,থামিসনি,থামেননি,থামেনি,,,
,,থামাইনি,থামাওনি,থামাসনি,থামাননি,থামায়নি,,,
352,থিতা,,,,,,,,
353,থিতানো,থিতাইনি,থিতাওনি,থিতাসনি,থিতাননি,থিতায়নি,,,
354,থুবড়ানো,থুবড়াইনি,থুবড়াওনি,থুবড়াসনি,থুবড়াননি,থুবড়ায়নি,,,
355,থুলা,,,,,,,,
356,থুলানো,,,,,,,,
357,থোয়া,থুইনি,থোওনি,থুসনি,থোননি,থোয়নি,,,
,,থোয়াইনি,থোয়াওনি,থোয়াসনি,থোয়াননি,থোয়ায়নি,,,
358,থ্যাঁতলানো,থ্যাঁতলাইনি,থ্যাঁতলাওনি,থ্যাঁতলাসনি,থ্যাঁতলাননি,থ্যাঁতলায়নি,,,
359,দমা,দমিনি,দমোনি,দমিসিনি,দমেননি,দমেনি,,,
360,দমানো,দমাইনি,দমাওনি,দমাসনি,দমাননি,দমায়নি,,,
361,দলা,দলিনি,দলোনি,দলিসনি,দলেননি,দলেনি,,,
362,দলানো,দলাইনি,দলাওনি,দলাসনি,দলাননি,দলায়নি,,,
363,দাঁড়ানো,দাঁড়াইনি,দাঁড়াওনি,দাঁড়াসনি,দাঁড়াননি,দাঁড়ায়নি,,,
364,দাগা,দাগিনি,দাগোনি,দাগিসনি,দাগেননি,দাগেনি,,,
365,দাগানো,দাগাইনি,দাগাওনি,দাগাসনি,দাগাননি,দাগায়নি,,,
366,দাবড়ানো,দাবড়াইনি,দাবড়াওনি,দাবড়াসনি,দাবড়াননি,দাবড়ায়নি,,,
367,দাবা,দাবিনি,দাবোনি,দাবিসনি,দাবেননি,দাবেনি,,,
368,দাবানো,দাবাইনি,দাবাওনি,দাবাসনি,দাবাননি,দাবায়নি,,,
369,দুলা,দুলিনি,দুলোনি,দুলিসনি,দুলেননি,দুলেনি,,,
370,দুলানো,দুলাইনি,দুলাওনি,দুলাসনি,দুলাননি,দুলায়নি,,,
371,দুষা,দুষিনি,দুষোনি,দুষিসনি,দুষেননি,দুষেনি,,,
372,দুষানো,দুষাইনি,দুষাওনি,দুষাসনি,দুষাননি,দুষায়নি,,,
373,দেওয়া,দেইনি,দেওনি,দিসনি,দেননি,দেয়নি,,,
,,দেওয়াইনি,দেওয়াওনি,দেওয়াসনি,দেওয়াননি,দেওয়ায়নি,,,
374,দেখা,দেখিনি,দেখোনি,দেখিসনি,দেখেননি,দেখেনি,,,
375,দেখানো,দেখাইনি,দেখাওনি,দেখাসনি,দেখাননি,দেখায়নি,,,
376,দেয়া,দেয়নি,দেওনি,দিসনি,দেননি,দেয়নি,,,
377,দেয়ানো,দেয়াইনি,দেয়াওনি,দেয়াসনি,দেয়াননি,দেয়ায়নি,,,
378,দোমড়ানো,দোমড়াইনি,দোমড়াওনি,দোমড়া,দোমড়াননি,দোমড়ায়নি,,,
379,দোয়ানো,দুইনি,দোওনি,দুসনি,দোননি,দোয়নি,,,
,,দোয়াইনি,দোয়াওনি,দোয়াসনি,দোয়াননি,দোয়ায়নি,,,
380,দোলা,দুলিনি,দোলোনি,দুলিসনি,দোলেননি,দোলেনি,,,
381,দোলানো,দোলাইনি,দোলাওনি,দোলাসনি,দোলাননি,দোলায়নি,,,
382,দোষা,দোষিনি,দোষোনি,দোষিসনি,দোষেননি,দোষেনি,,,
,,দোষাইনি,দোষাওনি,দোষাসনি,দোষাননি,দোষায়নি,,,
383,দৌড়ানো,দৌড়াইনি,দৌড়াওনি,দৌড়াসনি,দৌড়াননি,দৌড়ায়নি,,,
384,দৌড়া,,,,,দৌড়েনি,,,
385,দৌড়ানো,,,,,,,,
386,ধমকা,ধমকিনি,ধমকোনি,ধমকিসনি,ধমকেননি,ধমকে,,,
387,ধমকানো,ধমকাইনি,ধমকাওনি,ধমকাসনি,ধমকাননি,ধমকায়নি,,,
388,ধরা,ধরিনি,ধরোনি,ধরিসনি,ধরেননি,ধরেনি,,,
389,ধরানো,ধরাইনি,ধরাওনি,ধরাসনি,ধরাননি,ধরায়নি,,,
390,ধসা,ধসিনি,ধসোনি,ধসিসনি,ধসেননি,ধসেনি,,,
391,ধসানো,ধসাইনি,ধসাওনি,ধসাসনি,ধসাননি,ধসায়নি,,,
392,ধাওয়া,ধাওয়াইনি,ধাওয়াওনি,ধাওয়াসনি,ধাওয়াননি,ধাওয়ায়নি,,,
393,ধাক্কানো,ধাক্কাইনি,ধাক্কাওনি,ধাক্কাসনি,ধাক্কাননি,ধাক্কায়নি,,,
394,ধাবড়া,,,,,,,,
395,ধাবড়ানো,ধাবড়াইনি,ধাবড়াওনি,ধাবড়াসনি,ধাবড়াননি,ধাবড়ায়নি,,,
396,ধােয়ানো,ধুইনি,ধােওনি,ধুসনি,ধােননি,ধােয়নি,,,
,,ধােয়াইনি,ধােয়াওনি,ধােয়াসনি,ধােয়াননি,ধােয়ায়নি,,,
397,ধোওয়া,,,,,,,,
398,নাচা,নাচিনি,নাচোনি,নাচিসনি,নাচেননি,নাচেনি,,,
399,নাচানো,নাচাইনি,নাচাওনি,নাচাসনি,নাচাননি,নাচায়নি,,,
400,নাড়ানো,নাড়াইনি,নাড়াওনি,নাড়াসনি,নাড়াননি,নাড়ায়নি,,,
401,নামা,নামিনি,নামোনি,নামসনি,নামেননি,নামেনি,,,
402,নামানো,নামাইনি,নামাওনি,নামাসনি,নামাননি,নামায়নি,,,
403,নােয়ানো,নােয়াইনি,নােয়াওনি,নােয়াসনি,নােয়াননি,নােয়ায়নি,,,
404,নাড়া,নাড়িনি,নাড়োনি,নাড়িসনি,নাড়েননি,নাড়েনি,,,
405,নাড়ানো,নাড়াইনি,নাড়াওনি,নাড়াসনি,নাড়াননি,নাড়ায়নি,,,
406,নিংড়ানো,নিংড়াইনি,নিংড়াওনি,নিংড়াসনি,নিংড়াননি,নিংড়ায়নি,,,
407,নিংড়া,,,,,,,,
408,নিংড়ানো,,,,,,,,
409,নিকানো,নিকাইনি,নিকাওনি,নিকাসনি,নিকাননি,নিকায়নি,,,
410,নিবানো,নিবাইনি,নিবাওনি,নিবাসনি,নিবাননি,নিবায়নি,,,
411,নিভা,নিভিনি,নিভোনি,নিভিসনি,নিভেননি,নিভেনি,,,
412,নিভানো,নিভাইনি,নিভাওনি,নিভাসনি,নিভাননি,নিভায়নি,,,
413,নিড়া,,,,,,,,
414,নিড়ানো,নিড়াইনি,নিড়াওনি,নিড়াসনি,নিড়াননি,নিড়ায়নি,,,
415,নুয়া,নুইনি,নোওনি,নুসনি,নোননি,নোয়নি,,,
416,নুয়ানো,নুয়াইনি,নুয়াওনি,নুয়াসনি,নুয়াননি,নুয়ায়নি,,,
417,নেওয়া,নেওয়াইনি,নেওয়াওনি,নেওয়াসনি,নেওয়াননি,নেওয়ায়নি,,,
418,নেতানো,নেতাইনি,নেতাওনি,নেতাসনি,নেতাননি,নেতায়নি,,,
419,নেবা,,,,,,,,
420,নেবানো,নেবাইনি,নেবাওনি,নেবাসনি,নেবাননি,নেবায়নি,,,
421,নেভা,নেভিনি,নেভোনি,নেভিসনি,নেভেননি,নেভেনি,,,
422,নেভানো,নেভাইনি,নেভাওনি,নেভাসনি,নেভাননি,নেভায়নি,,,
423,নেয়া,নেইনি,নাওনি,নিসনি,নেননি,নেয়নি,,,
424,নেয়ানো,নেয়াইনি,নেয়াওনি,নেয়াসনি,নেয়াননি,নেয়ায়নি,,,
425,ন্যাতানো,ন্যাতাইনি,ন্যাতাওনি,ন্যাতাসনি,ন্যাতাননি,ন্যাতায়নি,,,
426,পচা,পচিনি,পচোনি,পচিসনি,পচেননি,পচেনি,,,
427,পচানো,পচাইনি,পচাওনি,পচাসনি,পচাননি,পচায়নি,,,
,,পটিনি,পটোনি,পটিসনি,পটেননি,পটেনি,,,
428,পটানো,পটাইনি,পটাওনি,পটাসনি,পটাননি,পটায়নি,,,
429,পড়া,পড়িনি,পড়োনি,পড়িসনি,পড়েননি,পড়েনি,,,
430,পড়ানো,পড়াইনি,পড়াওনি,পড়াসনি,পড়াননি,পড়ায়নি,,,
431,পরা,পরিনি,পরোনি,পরিসনি,পরেননি,পরেনি,,,
,,পরাইনি,পরাওনি,পরাসনি,পরাননি,পরায়নি,,,
432,পস্তানো,পস্তাইনি,পস্তাওনি,পস্তাসনি,পস্তাননি,পস্তায়নি,,,
,,পাইনি,পাওনি,পাসনি,পাননি,পায়নি,,,
433,পাওয়া,পাওয়াইনি,পাওয়াওনি,পাওয়াসনি,পাওয়াননি,পাওয়ায়নি,,,
,,পাকিনি,পাকোনি,পাকিসনি,পাকেননি,পাকেনি,,,
434,পাকানো,পাকাইনি,পাকাওনি,পাকাসনি,পাকাননি,পাকায়নি,,,
435,পাতা,পাতিনি,পাতোনি,পাতিসনি,পাতেননি,পাতেনি,,,
436,পাতানো,পাতাইনি,পাতাওনি,পাতাসনি,পাতাননি,পাতায়নি,,,
437,পারা,,,,,,এইটার এন্ট্রি আছে ,,
438,পালানো,পালাইনি,পালাওনি,পালাসনি,পালাননি,পালায়নি,,,
439,পােড়া,পুড়িনি,পােড়োনি,পুড়িসনি,পােড়েননি,পােড়েনি,,,
440,পােড়ানো,পােড়াইনি,পােড়াওনি,পােড়াসনি,পােড়াননি,পােড়ায়নি,,,
441,পাড়া,পাড়িনি,পাড়োনি,পাড়িসনি,পাড়েননি,পাড়েনি,,,
442,পাড়ানো,পাড়াইনি,পাড়াওনি,পাড়াসনি,পাড়াননি,পাড়ায়নি,,,
443,পিছানো,পিছাইনি,পিছাওনি,পিছাসনি,পিছাননি,পিছায়নি,,,
444,পিটানো,পিটাইনি,পিটাওনি,পিটাসনি,পিটাননি,পিটায়নি,,,
445,পিষা,পিষিনি,পিষোনি,পিষিসনি,পিষেননি,পিষেনি,,,
446,পিষানো,পিষাইনি,পিষাওনি,পিষাসনি,পিষাননি,পিষায়নি,,,
447,পুরা,পুরিনি,পুরোনি,পুরিসনি,পুরেননি,পুরেনি,,,
448,পুরানো,পুরাইনি,পুরাওনি,পুরাসনি,পুরাননি,পুরায়নি,,,
449,পুষা,পুষিনি,পুষোনি,পুষিসনি,পুষেননি,পুষেনি,,,
450,পুষানো,পুষাইনি,পুষাওনি,পুষাসনি,পুষাননি,পুষায়নি,,,
451,পুড়া,পুড়িনি,পুড়োনি,পুড়িসনি,পুড়েননি,পুড়েনি,,,
452,পুড়ানো,পুড়াইনি,পুড়াওনি,পুড়াসনি,পুড়াননি,পুড়ায়নি,,,
453,পেটানো,পেটাইনি,পেটাওনি,পেটাসনি,পেটাননি,পেটায়নি,,,
454,পোষা,পুষিনি,পোষোনি,পুষিসনি,পোষেননি,পোষেনি,,,
455,পোষানো,পোষাইনি,পোষাওনি,পোষাসনি,পোষাননি,পোষায়নি,,,
456,প্যাঁদানো,প্যাঁদাইনি,প্যাঁদাওনি,প্যাঁদাসনি,প্যাঁদাননি,প্যাঁদায়নি,,,
457,পড়া,পড়িনি,পড়োনি,পড়িসনি,পড়েননি,পড়েনি,,,
458,পড়ানো,পড়াইনি,পড়াওনি,পড়াসনি,পড়াননি,পড়ায়নি,,,
459,ফলা,ফলিনি,ফলোনি,ফলিসনি,ফলেননি,ফলেনি,,,
460,ফলানো,ফলাইনি,ফলাওনি,ফলাসনি,ফলাননি,ফলায়নি,,,
461,ফসকা,ফসকিনি,ফসকোনি,ফসকিসনি,ফসকেননি,ফসকেনি,,,
462,ফসকানো,ফসকাইনি,ফসকাওনি,ফসকাসনি,ফসকাননি,ফসকায়নি,,,
463,ফাটা,ফাটিনি,ফাটোনি,ফাটিসনি,ফাটেননি,ফাটেনি,,,
464,ফাটানো,ফাটাইনি,ফাটাওনি,ফাটাসনি,ফাটাননি,ফাটায়নি,,,
465,ফাড়া,ফাড়িনি,ফাড়োনি,ফাড়িসনি,ফাড়েননি,ফাড়েনি,,,
466,ফাড়ানো,ফাড়াইনি,ফাড়াওনি,ফাড়াসনি,ফাড়াননি,ফাড়ায়নি,,,
467,ফিরা,ফিরিনি,ফিরোনি,ফিরিসনি,ফিরেননি,ফিরেনি,,,
468,ফিরানো,ফিরাইনি,ফিরাওনি,ফিরাসনি,ফিরাননি,ফিরায়নি,,,
469,ফুটা,ফুটিনি,ফুটোনি,ফুটিসনি,ফুটেননি,ফুটেনি,,,
470,ফুটানো,ফুটাইনি,ফুটাওনি,ফুটাসনি,ফুটাননি,ফুটায়নি,,,
471,ফুরা,ফুরিনি,ফুরোনি,ফুরিসনি,ফুরেননি,ফুরেনি,,,
472,ফুরানো,ফুরাইনি,ফুরাওনি,ফুরাসনি,ফুরাননি,ফুরায়নি,,,
,,ফুলিনি,ফুলোনি,ফুলিসনি,ফুলেননি,ফুলেনি,,,
473,ফুলানো,ফুলাইনি,ফুলাওনি,ফুলাসনি,ফুলাননি,ফুলায়নি,,,
474,ফুসলানো,ফুসলাইনি,ফুসলাওনি,ফুসলাসনি,ফুসলাননি,ফুসলায়নি,,,
475,ফেনানো,ফেনাইনি,ফেনাওনি,ফেনাসনি,ফেনাননি,ফেনায়নি,,,
476,ফেরা,ফিরিনি,ফেরোনি,ফিরিসনি,ফেরেননি,ফেরেনি,,,
477,ফেরানো,ফেরাইনি,ফেরাওনি,ফেরাসনি,ফেরাননি,ফেরায়নি,,,
478,ফেলা,ফেলিনি,ফেলোনি,ফেলিসনি,ফেলেননি,ফেলেনি,,,
,,ফেলাইনি,ফেলাওনি,ফেলাসনি,ফেলাননি,ফেলায়নি,,,
479,ফোঁসা,ফুঁসিনি,ফোঁসোনি,ফুঁসিসনি,ফোঁসেননি,ফোঁসেনি,,,
,,ফোঁসাইনি,ফোঁসাওনি,ফোঁসাসনি,ফোঁসাননি,ফোঁসায়নি,,,
480,ফোটা,ফুটিনি,ফোটোনি,ফুটিসনি,ফোটেননি,ফোটেনি,,,
481,ফোটানো,ফোটাইনি,ফোটাওনি,ফোটাসনি,ফোটাননি,ফোটায়নি,,,
,,বকিনি,বকোনি,বকিসনি,বকেননি,বকেনি,,,
482,বকানো,বকাইনি,বকাওনি,বকাসনি,বকাননি,বকায়নি,,,
483,বখানো,বখিনি,বখোনি,বখিসনি,বখেননি,বখেনি,,,
,,বখাইনি,বখাওনি,বখাসনি,বখাননি,বখায়নি,,,
484,বখাবনা,,,,,,,,
,,বদলিনি,বদলোনি,বদলিসনি,বদলেননি,বদলেনি,,,
485,বদলানো,বদলাইনি,বদলাওনি,বদলাসনি,বদলাননি,বদলায়নি,,,
,,বনিনি,বনোনি,বনিসনি,বনেননি,বনেনি,,,
486,বনানো,বনাইনি,বনাওনি,বনাসনি,বনাননি,বনায়নি,,,
,,বলিনি,বলোনি,বলিসনি,বলেননি,বলেনি,,,
487,বলা,বলাইনি,বলাওনি,বলাসনি,বলাননি,বলায়নি,,,
488,বসা,বসিনি,বসোনি,বসিসনি,বসেননি,বসেনি,,,
489,বসানো,বসাইনি,বসাওনি,বসাসনি,বসাননি,বসায়নি,,,
490,বহা,বহিনি,বহোনি,বহিসনি,বহেননি,বহেনি,,,
491,বহানো,বহাইনি,বহাওনি,বহাসনি,বহাননি,বহায়নি,,,
,,বাঁকিনি,বাঁকোনি,বাঁকিসনি,বাঁকেননি,বাঁকেনি,,,
492,বাঁকানো,বাঁকাইনি,বাঁকাওনি,বাঁকাসনি,বাঁকাননি,বাঁকায়নি,,,
,,বাঁচিনি,বাঁচোনি,বাঁচিসনি,বাঁচেননি,বাঁচেনি,,,
493,বাঁচা,বাঁচাইনি,বাঁচাওনি,বাঁচাসনি,বাঁচাননি,বাঁচায়নি,,,
494,বাঁধা,বাঁধিনি,বাঁধোনি,বাঁধিসনি,বাঁধেননি,বাঁধেনি,,,
495,বাঁধানো,বাঁধাইনি,বাঁধাওনি,বাঁধাসনি,বাঁধাননি,বাঁধায়নি,,,
,,বাইনি,বাওনি,বাইসনি,বাননি,বায়নি,,,
496,বাওয়া,বাওয়াইনি,বাওয়াওনি,বাওয়াসনি,বাওয়াননি,বাওয়ায়নি,,,
,,বাছিনি,বাছোনি,বাছিসনি,বাছেননি,বাছেনি,,,
497,বাছা,বাছাইনি,বাছাওনি,বাছাসনি,বাছাননি,বাছায়নি,,,
,,বাজিনি,বাজোনি,বাজিসনি,বাজেননি,বাজেনি,,,
498,বাজানো,বাজাইনি,বাজাওনি,বাজাসনি,বাজাননি,বাজায়নি,,,
499,বাটা,বাটিনি,বাটোনি,বাটিসনি,বাটেননি,বাটেনি,,,
500,বাটানো,বাটাইনি,বাটাওনি,বাটাসনি,বাটাননি,বাটায়নি,,,
,,বাড়িনি,বাড়োনি,বাড়িসনি,বাড়েননি,বাড়েনি,,,
501,বাড়ানো,বাড়াইনি,বাড়াওনি,বাড়াসনি,বাড়াননি,বাড়ায়নি,,,
502,বাধা,বাধিনি,বাধোনি,বাধিসনি,বাধেননি,বাধেনি,,,
503,বাধানো,বাধাইনি,বাধাওনি,বাধাসনি,বাধাননি,বাধায়নি,,,
504,বানানো,বানাইনি,বানাওনি,বানাসনি,বানাননি,বানায়নি,,,
,,বাসিনি,বাসেনি,বাসিসনি,বাসেননি,বাসেনি,,,
505,বাসা,বাসাইনি,বাসাওনি,বাসাসনি,বাসাননি,বাসায়নি,,,
,,বুঝিনি,বােঝোনি,বুঝিসনি,বােঝেনন,বােঝেনি,,,
506,বােঝা,বােঝাইনি,বােঝাওনি,বােঝাসনি,বােঝাননি,বােঝায়নি,,,
507,বােনা,বুনিনি,বোনোনি,বুনিসনি,বোনেননি,বোনেনি,,,
508,বােনানো,বোনাইনি,বোনাওনি,বুনাসনি,বোনাননি,বোনায়নি,,,
509,বােলানো,বােলাইনি,বােলাওনি,বােলাসনি,বােলাননি,বােলায়নি,,,
510,বাড়া,বাড়িনি,বাড়োনি,বাড়িসনি,বাড়েননি,বাড়েনি,,,
511,বাড়ানো,বাড়াইনি,বাড়াওনি,বাড়াসনি,বাড়াননি,বাড়ায়নি,,,
512,বিকা,বিকিনি,বিকোনি,বিকিসনি,বিকোননি,বিকেনি,,,
513,বিকানো,বিকাইনি,বিকাওনি,বিকাসনি,বিকাননি,বিকায়নি,,,
514,বিছানো,বিছাইনি,বিছাওনি,বিছাসনি,বিছাননি,বিছায়নি,,,
515,বিলানো,বিলাইনি,বিলাওনি,বিলাসনি,বিলাননি,বিলায়নি,,,
516,বুজা,বুজিনি,বোজোনি,বুজিসনি,বোজেননি,বোজেনি,,,
517,বুজানো,বুজাইনি,বোজাওনি,বোজাসনি,বোজাননি,বোজায়নি,,,
518,বুঝানো,বুঝাইনি,বুঝাওনি,বুঝাসনি,বুঝাননি,বুঝায়নি,,,
519,বুনা,বুনিনি,বুনোনি,বুনিসনি,বুনেননি,বুনেনি,,,
520,বুনানো,বুনাইনি,বুনাওনি,বুনাসনি,বুনাননি,বুনায়নি,,,
521,বুলা,,,,,,,,
