parent_verbs,index
ঢাকানো,185
ঢালা,309
ঢিকা,139
ঢিকানো,56
ঢুকা,77
ঢুকানো,255
ঢুলা,81
ঢুলানো,42
ঢুসা,29
ঢুসানো,306
তলা,181
তলানো,593
তাকানো,67
তাতলানো,434
তাতা,260
তাতানো,405
তালানো,201
তাড়ানো,5
তুলা,174
তুলানো,76
থাকা,713
থাকানো,711
থাপড়ানো,285
থাবড়ানো,314
থামা,706
থিতা,577
থিতানো,250
থুবড়ানো,341
থুলানো,730
থোয়া,424
থ্যাঁতলানো,146
থ্যাতলানো,710
দমা,66
দমানো,20
দলা,224
দলানো,299
দাঁড়ানো,291
দাগা,226
দাগানো,265
দাবা,709
দাবানো,119
দাবড়ানো,13
দাড়ানো,505
দুলা,298
দুলানো,269
দুষা,718
দুষানো,347
দেওয়া,121
দেখা,391
দেখানো,84
দেয়া,408
দেয়ানো,664
দোমড়ানো,322
দোলা,110
দোলানো,107
দোষা,523
দোয়ানো,326
দৌড়া,351
দৌড়ানো,215
ধমকা,94
ধমকানো,270
ধরা,227
ধরানো,425
ধসা,621
ধসানো,587
ধাওয়া,44
ধাক্কানো,71
ধাবড়ানো,375
ধায়ানো,348
ধোওয়া,27
নাচা,229
নাচানো,159
নামা,734
নামানো,188
নাড়া,618
নাড়ানো,161
নায়ানো,389
নিংড়ানো,101
নিকানো,546
নিবানো,26
নিভা,328
নিভানো,615
নিড়ানো,572
নুয়া,504
নুয়ানো,473
নেওয়া,258
নেতানো,37
নেবানো,14
নেভা,551
নেভানো,493
নেয়া,463
নেয়ানো,267
ন্যাতানো,286
পচা,120
পচানো,194
পটানো,74
পরা,669
পস্তানো,65
পাওয়া,158
পাকানো,728
পাতা,130
পাতানো,729
পারা,567
পালানো,193
পাড়া,680
পাড়ানো,637
পিছানো,16
পিটানো,372
পিষা,184
পিষানো,465
পুরা,429
পুরানো,355
পুষা,559
পুষানো,521
পুড়া,51
পুড়ানো,280
পেটানো,502
পোষা,12
পোষানো,549
প্যাঁদানো,545
প্যাদানো,633
পড়া,1
পড়ানো,202
ফলা,191
ফলানো,272
ফসকা,622
ফসকানো,697
ফাটা,176
ফাটানো,415
ফাড়া,15
ফাড়ানো,447
ফিরা,379
ফিরানো,48
ফুটা,354
ফুটানো,165
ফুরা,99
ফুরানো,490
ফুলানো,340
ফুসলানো,75
ফেনানো,690
ফেরা,414
ফেরানো,140
ফেলা,57
ফোঁসা,432
ফোটা,737
ফোটানো,544
ফোসা,486
বকানো,467
বখানো,190
বখাবনা,560
বদলানো,453
বনানো,474
বলা,54
বসা,235
বসানো,719
বহা,134
বহানো,394
বাঁকানো,613
বাঁচা,370
বাঁধা,530
বাঁধানো,11
বাওয়া,722
বাকানো,720
বাছা,92
বাজানো,142
বাঝা,717
বাটা,482
বাটানো,454
বাধা,189
বাধানো,88
বানা,369
বানানো,89
বালানো,705
বাসা,217
বাড়া,556
বাড়ানো,594
বিকা,349
বিকানো,335
বিছানো,670
বিলানো,268
বুজা,398
বুজানো,136
বুঝানো,665
বুঝাবুনা,276
বুনা,632
বুনানো,277
বুলানো,290
বেচা,315
বেড়ানো,380
বোজা,104
বোজানো,543
বোঝানো,228
ভজা,464
ভরা,677
ভরানো,287
ভাগা,480
ভাগানো,437
ভাঙা,695
ভাজা,419
ভানা,311
ভানানো,631
ভাপানো,50
ভাবা,35
ভাবানো,397
ভালা,649
ভালানো,548
ভাসা,109
ভাসানো,590
ভিজা,557
ভিজানো,166
ভিড়া,118
ভিড়ানো,209
ভিড়ামিশা,38
ভুগা,196
ভুগানো,579
ভুলা,324
ভুলানো,33
ভেজা,18
ভেজানো,731
ভড়কা,433
ভড়কানো,78
মজা,374
মজানো,412
মটকানো,455
মরা,576
মলা,611
মলানো,117
মাখা,344
মাখানো,294
মাগা,532
মাছা,451
মাজা,362
মাতা,550
মাতানো,462
মানা,330
মানানো,366
মাপা,681
মাপানো,714
মারা,2
মিটানো,554
মিলা,203
মিলানো,245
মিশানো,69
মুচড়ানো,283
মুছা,725
মুছানো,87
মুতা,494
মুতানো,162
মুড়া,500
মুড়ানো,448
মেটা,687
মেটানো,31
মেলা,497
মেলানো,232
মেশা,538
মেশানো,707
মোছা,660
মোছানো,310
মোড়া,318
মোড়ানো,213
যাওয়া,273
যাচা,64
যাচানো,652
রওয়া,553
রওয়ানো,655
রটা,381
রটানো,240
রসা,501
রসানো,274
রহা,343
রহানো,676
রাঁধা,466
রাখা,387
রাগা,671
রাগানো,263
রাধা,225
রুখা,346
রুখানো,325
রোপা,495
রোপানো,623
রয়ানো,279
লওয়া,261
লওয়ানো,489
লটকা,271
লটকানো,172
লাগা,145
লাগানো,639
লাফানো,413
লিখা,329
লিখানো,683
লুকানো,80
লুটানো,116
লুফা,96
লুফানো,396
লেখা,6
লেখানো,476
লড়া,125
লড়ানো,411
শাধরানো,214
শানা,441
শানাকশা,157
শানানো,102
শায়ানো,301
শুকানো,478
শুধানো,561
শুনা,716
শুনানো,234
শুষা,540
শুষানো,647
শুয়া,331
শুয়ানো,373
শেখা,336
শেখানো,275
শোধানো,128
শোয়া,426
সঁপা,200
সঁপানো,98
সওয়া,511
সওয়ানো,223
সটকা,179
সটকানো,468
সপা,565
সপানো,679
সরা,131
সরানো,651
সহা,573
সহানো,8
সাজা,242
সাজানো,431
সাধা,692
সাধানো,137
সামলানো,97
সেঁচা,73
সেঁচানো,218
সেকা,726
সেকানো,393
সেচা,592
সেচানো,693
হওয়া,427
হওয়ানো,7
হটা,510
হটানো,175
হরা,578
হরানো,506
হাঁকা,323
হাঁকানো,457
হাঁচা,246
হাঁটা,477
হাকা,624
হাকানো,151
হাচা,527
হাটা,358
হাতানো,625
হাতড়ানো,528
হানা,656
হানানো,144
হারা,39
হারানো,281
হাসা,439
হাসানো,376
হেলা,420
হেলানো,124
